Scenario,Workbook,Sheet,Col,TemplateField,Class,ClassMeaning,Target,Note
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,38,WT_EXNR_03,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXNR,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,39,WT_EXNR_04,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXNR,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,40,WT_EXNR_05,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXNR,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,41,WT_EXNR_06,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXNR,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,42,WT_EXRT_01,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXRT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,43,WT_EXRT_02,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXRT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,44,WT_EXRT_03,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXRT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,45,WT_EXRT_04,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXRT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,46,WT_EXRT_05,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXRT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,47,WT_EXRT_06,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXRT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,48,WT_WTEXRS_01,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WTEXRS,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,49,WT_WTEXRS_02,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WTEXRS,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,50,WT_WTEXRS_03,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WTEXRS,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,51,WT_WTEXRS_04,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WTEXRS,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,52,WT_WTEXRS_05,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WTEXRS,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,53,WT_WTEXRS_06,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WTEXRS,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,54,WT_EXDF_01,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXDF,DD.MM.YYYY -> YYYYMMDD
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,55,WT_EXDF_02,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXDF,DD.MM.YYYY -> YYYYMMDD
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,56,WT_EXDF_03,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXDF,DD.MM.YYYY -> YYYYMMDD
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,57,WT_EXDF_04,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXDF,DD.MM.YYYY -> YYYYMMDD
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,58,WT_EXDF_05,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXDF,DD.MM.YYYY -> YYYYMMDD
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,59,WT_EXDF_06,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXDF,DD.MM.YYYY -> YYYYMMDD
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,60,WT_EXDT_01,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXDT,DD.MM.YYYY -> YYYYMMDD
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,61,WT_EXDT_02,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXDT,DD.MM.YYYY -> YYYYMMDD
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,62,WT_EXDT_03,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXDT,DD.MM.YYYY -> YYYYMMDD
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,63,WT_EXDT_04,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXDT,DD.MM.YYYY -> YYYYMMDD
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,64,WT_EXDT_05,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXDT,DD.MM.YYYY -> YYYYMMDD
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,65,WT_EXDT_06,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXDT,DD.MM.YYYY -> YYYYMMDD
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,1,Vendor,A,CL_MD_BP_MAINTAIN,VENDOR-HEADER-OBJECT_INSTANCE-LIFNR,key
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,2,Company,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA_KEY-BUKRS,key
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,3,Address,E,UNMAPPED,?,EMPTY in every data row - purpose unknown
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,4,Section_code_1,E,UNMAPPED,?,no LFBW field; sample value = company code -> Business Place? See Q6
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,5,Section_code_2,E,UNMAPPED,?,as above
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,6,Certificate_1,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXNR,
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,7,Certificate_2,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXNR,
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,8,Exemption_rate_1,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXRT,
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,9,Exemption_rate_2,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXRT,
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,10,Validfrom_1,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXDF,
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,11,Validfrom2,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXDF,
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,12,Validto_1,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXDT,
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,13,Validto_2,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXDT,
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,14,taxtype_1,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA_KEY-WITHT,
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,15,Taxtype_2,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA_KEY-WITHT,
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,16,taxcode_1,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WITHCD,
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,17,Taxcode_2,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WITHCD,
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,18,threshold_1,E,UNMAPPED,?,"no LFBW field - TDS threshold is config, not master data. See Q6"
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,19,threshold_2,E,UNMAPPED,?,as above
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,20,Currency_1,E,UNMAPPED,?,no LFBW field. See Q6
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,21,Currency_2,E,UNMAPPED,?,as above
6 TDS Exemption / TAN,TAN details update.xlsx,CIN TAN EXEMPTION,22,<no header>,E,UNMAPPED,?,"unheaded column, value 0 in 2 rows - purpose unknown"
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,CIN MSME,1,Vendor Account Number,A,CL_MD_BP_MAINTAIN,VENDOR-HEADER-OBJECT_INSTANCE-LIFNR,key
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,CIN MSME,2,Company Code,A,CL_MD_BP_MAINTAIN,(auth check),
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,CIN MSME,3,Address View,D,ignored (artifact),-,screen view flag - ignored
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,CIN MSME,4,ECC Number,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-J_1IEXCD,CONFIRMED in LFA1; still a business question whether used
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,CIN MSME,5,Excise Registration Number,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-J_1IEXRN,CONFIRMED in LFA1; still a business question whether used
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,CIN MSME,6,Excise Range,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-J_1IEXRG,CONFIRMED in LFA1; still a business question whether used
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,CIN MSME,7,Excise Division,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-J_1IEXDI,CONFIRMED in LFA1; still a business question whether used
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,CIN MSME,8,Excise Commissionerate,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-J_1ICOMM,CONFIRMED in LFA1; still a business question whether used
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,CIN MSME,9,Central Sales Tax Number,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-J_1ICSTNO,CONFIRMED in LFA1; still a business question whether used
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,CIN MSME,10,Local Sales Tax Number,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-J_1ILSTNO,CONFIRMED in LFA1; still a business question whether used
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,CIN MSME,11,Service Tax Registration Number,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-J_1ISERN,CONFIRMED in LFA1; still a business question whether used
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,CIN MSME,12,Permanent Account Number,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-J_1IPANNO,CONFIRMED
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,CIN MSME,13,SSI status,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-J_1ISSIST,CONFIRMED
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,CIN MSME,14,Exc.Tax Ind. Vendor,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-J_1IEXCIVE,CONFIRMED
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,CIN MSME,15,Type of Vendor,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-J_1IVTYP,CONFIRMED
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,PAN Update,2,Sap V Code,A,CL_MD_BP_MAINTAIN,VENDOR-HEADER-OBJECT_INSTANCE-LIFNR,key
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,PAN Update,3,PAN No.,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-J_1IPANNO,CONFIRMED
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,Email,1,<no header>,D,ignored (artifact),-,transaction code XK02 - ignored
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,Email,2,<no header>,A,CL_MD_BP_MAINTAIN,VENDOR-HEADER-OBJECT_INSTANCE-LIFNR,key (vendor number)
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,Email,3,<no header>,D,ignored (artifact),-,screen view flag X
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,Email,4,<no header>,D,ignored (artifact),-,screen view flag X
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,Email,5,<no header>,D,ignored (artifact),-,screen view flag X
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,Email,6,<no header>,D,ignored (artifact),-,screen view flag X
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,Email,7,<no header>,A,CL_MD_BP_MAINTAIN,ADDRESS-COMMUNICATION-SMTP-SMTP[]-E_MAIL,
7 CIN / PAN / MSME,CIN_Email_MSME upload.xlsx,Email,8,<no header>,A,CL_MD_BP_MAINTAIN,ADDRESS-COMMUNICATION-SMTP-SMTP[]-E_MAIL (2nd),
8 Payment Term / Method,Payment Term and Method update_V.01.xlsx,Payment Term,1,Vendor Code,A,CL_MD_BP_MAINTAIN,VENDOR-HEADER-OBJECT_INSTANCE-LIFNR,key
8 Payment Term / Method,Payment Term and Method update_V.01.xlsx,Payment Term,2,Company Code,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA_KEY-BUKRS,key
8 Payment Term / Method,Payment Term and Method update_V.01.xlsx,Payment Term,3,Pur Org,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA_KEY-EKORG,key
8 Payment Term / Method,Payment Term and Method update_V.01.xlsx,Payment Term,4,Payment Term,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA-ZTERM + PURCHASING[]-DATA-ZTERM,written at both org levels
8 Payment Term / Method,Payment Term and Method update_V.01.xlsx,Payment Method,1,Vendor Code,A,CL_MD_BP_MAINTAIN,VENDOR-HEADER-OBJECT_INSTANCE-LIFNR,key
8 Payment Term / Method,Payment Term and Method update_V.01.xlsx,Payment Method,2,Company Code,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA_KEY-BUKRS,key
8 Payment Term / Method,Payment Term and Method update_V.01.xlsx,Payment Method,3,Payment Method,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA-ZWELS,
9 Purchasing Org Data,Purchase Org Data update.xlsx,Sheet1,2,Vendor code,A,CL_MD_BP_MAINTAIN,VENDOR-HEADER-OBJECT_INSTANCE-LIFNR,key
9 Purchasing Org Data,Purchase Org Data update.xlsx,Sheet1,3,Pur Org,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA_KEY-EKORG,key
9 Purchasing Org Data,Purchase Org Data update.xlsx,Sheet1,4,CONFIRMATION CONTROL,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA-BSTAE,CONFIRMED on LFM1 (check table T163L)
9 Purchasing Org Data,Purchase Org Data update.xlsx,Sheet1,5,CHECK ACKNOWLEDGEMENT,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA-KZABS,CONFIRMED on LFM1 (check table T163L)
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,1,LIFNR,A,CL_MD_BP_MAINTAIN,VENDOR-HEADER-OBJECT_INSTANCE-LIFNR,key
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,2,BUKRS,A,CL_MD_BP_MAINTAIN,(auth check),
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,3,EKORG,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA_KEY-EKORG,key
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,4,D0320,D,ignored (artifact),-,XK01/XK02 screen flag - ignored
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,5,USE_ZAV,D,ignored (artifact),-,"LSMW artifact ""Always X"" - ignored"
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,6,PARVW_05,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA_KEY-PARVW,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,7,PARVW_06,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA_KEY-PARVW,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,8,PARVW_07,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA_KEY-PARVW,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,9,PARVW_08,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA_KEY-PARVW,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,10,PARVW_09,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA_KEY-PARVW,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,11,PARVW_10,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA_KEY-PARVW,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,12,PARVW_11,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA_KEY-PARVW,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,13,PARVW_12,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA_KEY-PARVW,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,14,PARVW_13,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA_KEY-PARVW,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,15,PARVW_14,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA_KEY-PARVW,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,16,PARVW_15,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA_KEY-PARVW,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,17,GPARN_05,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA-PARTNER,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,18,GPARN_06,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA-PARTNER,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,19,GPARN_07,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA-PARTNER,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,20,GPARN_08,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA-PARTNER,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,21,GPARN_09,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA-PARTNER,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,22,GPARN_10,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA-PARTNER,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,23,GPARN_11,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA-PARTNER,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,24,GPARN_12,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA-PARTNER,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,25,GPARN_13,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA-PARTNER,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,26,GPARN_14,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA-PARTNER,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,27,GPARN_15,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA-PARTNER,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,28,PARVW_01,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA_KEY-PARVW,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,29,PARVW_02,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA_KEY-PARVW,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,30,PARVW_03,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA_KEY-PARVW,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,31,PARVW_04,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA_KEY-PARVW,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,32,GPARN_01,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA-PARTNER,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,33,GPARN_02,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA-PARTNER,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,34,GPARN_03,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA-PARTNER,note: file orders 05-15 BEFORE 01-04
10 Partner Functions,Vendor Partner Function Template.xlsx,Sheet1,35,GPARN_04,A,CL_MD_BP_MAINTAIN,PURCHASING[]-FUNCTIONS-FUNCTIONS[]-DATA-PARTNER,note: file orders 05-15 BEFORE 01-04
11 Block / Unblock,Vendor Block_Unblocked.xlsx,Total Block,1,<tcode>,D,ignored (artifact),-,"""XK05"" - LSMW artifact, ignored"
11 Block / Unblock,Vendor Block_Unblocked.xlsx,Total Block,2,LIFNR,A,CL_MD_BP_MAINTAIN,VENDOR-HEADER-OBJECT_INSTANCE-LIFNR,key
11 Block / Unblock,Vendor Block_Unblocked.xlsx,Total Block,3,BUKRS,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA_KEY-BUKRS,key
11 Block / Unblock,Vendor Block_Unblocked.xlsx,Total Block,4,EKORG,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA_KEY-EKORG,key
11 Block / Unblock,Vendor Block_Unblocked.xlsx,Total Block,5,SPERR,A,CL_MD_BP_MAINTAIN,CENTRAL_DATA-CENTRAL-DATA-SPERR,central posting block
11 Block / Unblock,Vendor Block_Unblocked.xlsx,Total Block,6,SPERR_1,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA-SPERR,CC posting block
11 Block / Unblock,Vendor Block_Unblocked.xlsx,Total Block,7,SPERM,A,CL_MD_BP_MAINTAIN,CENTRAL_DATA-CENTRAL-DATA-SPERM,central purchasing block
11 Block / Unblock,Vendor Block_Unblocked.xlsx,Total Block,8,SPERM_1,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA-SPERM,POrg purchasing block
11 Block / Unblock,Vendor Block_Unblocked.xlsx,Total Block,9,SPERQ,A,CL_MD_BP_MAINTAIN,CENTRAL_DATA-CENTRAL-DATA-SPERQ,
11 Block / Unblock,Vendor Block_Unblocked.xlsx,Payment block,1,Vendor code,A,CL_MD_BP_MAINTAIN,VENDOR-HEADER-OBJECT_INSTANCE-LIFNR,key
